label,count
Carbohydrate (g),0
Fat (g),14.6
Protein (g),15.3
Fibre (g),0
Water (g),69
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),7.3
Sum of monounsaturated fatty acids (g),5.47
Sum of polyunsaturated fatty acids (g),1.14
Cholesterol (mg),180
Vitamin D (µg),0.4
Vitamin E (mg),0.21
Vitamin K (µg),0
Vitamin C (mg),7
Vitamin B-6 (mg),0.17
Vitamin B-12 (µg),7
Phosphorus (mg),170
Iodide (µg),0
Iron (mg),2.2
Potassium (mg),250
Magnesium (mg),21
Sodium (mg),97
Salt (g),0.24
Selenium (µg),5
Zinc (mg),2.5
