label,count
Carbohydrate (g),0
Fat (g),12.6
Protein (g),17.8
Fibre (g),0
Water (g),68.6
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),6.3
Sum of monounsaturated fatty acids (g),4.72
Sum of polyunsaturated fatty acids (g),0.98
Cholesterol (mg),78
Vitamin D (�g),0.4
Vitamin E (mg),0.7
Vitamin K (�g),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.2
Vitamin B-12 (�g),1.2
Phosphorus (mg),166
Iodide (�g),0
Iron (mg),1.6
Potassium (mg),220
Magnesium (mg),17
Sodium (mg),66
Salt (g),0.17
Selenium (�g),1.4
Zinc (mg),3.4
