label,count
Carbohydrate (g),0.8
Fat (g),0.2
Protein (g),2.63
Fibre (g),1.8
Water (g),93.5
Monosaccharides (g),0.2
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.1
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0.1
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),1.5
Vitamin K (µg),377
Vitamin C (mg),35.3
Vitamin B-6 (mg),0.14
Vitamin B-12 (µg),0
Phosphorus (mg),30
Iodide (µg),6.4
Iron (mg),1.78
Potassium (mg),350
Magnesium (mg),22
Sodium (mg),3
Salt (g),0.01
Selenium (µg),0
Zinc (mg),0.18
