label,count
Carbohydrate (g),10.6
Fat (g),0.2
Protein (g),0.7
Fibre (g),0.1
Water (g),88
Monosaccharides (g),4.8
Disaccharides (g),0.7
Sucrose (g),0.7
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Sum of monounsaturated fatty acids (g),0.04
Sum of polyunsaturated fatty acids (g),0.06
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.24
Vitamin K (µg),0
Vitamin C (mg),50
Vitamin B-6 (mg),0.04
Vitamin B-12 (µg),0
Phosphorus (mg),17
Iodide (µg),0
Iron (mg),0.2
Potassium (mg),200
Magnesium (mg),11
Sodium (mg),1
Salt (g),0
Selenium (µg),0.2
Zinc (mg),0.1
