label,count
Carbohydrate (g),4.3
Fat (g),0.15
Protein (g),0.5
Fibre (g),1.4
Water (g),93.2
Monosaccharides (g),4.8
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),2.13
Vitamin K (µg),5
Vitamin C (mg),163
Vitamin B-6 (mg),0.22
Vitamin B-12 (µg),0
Phosphorus (mg),16.1
Iodide (µg),0
Iron (mg),0.3
Potassium (mg),123
Magnesium (mg),8
Sodium (mg),0
Salt (g),0
Selenium (µg),0
Zinc (mg),0.13
