label,count
Carbohydrate (g),2.2
Fat (g),0.1
Protein (g),0.6
Fibre (g),1.6
Water (g),95
Monosaccharides (g),1.6
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.04
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.1
Vitamin K (µg),0
Vitamin C (mg),33
Vitamin B-6 (mg),0.06
Vitamin B-12 (µg),0
Phosphorus (mg),36
Iodide (µg),1
Iron (mg),0.8
Potassium (mg),280
Magnesium (mg),10
Sodium (mg),21
Salt (g),0.05
Selenium (µg),0.1
Zinc (mg),0.5
