label,count
Carbohydrate (g),2
Fat (g),0.2
Protein (g),0.9
Fibre (g),1.7
Water (g),93
Monosaccharides (g),0
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.04
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0.11
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0
Vitamin K (µg),0
Vitamin C (mg),15
Vitamin B-6 (mg),0.1
Vitamin B-12 (µg),0
Phosphorus (mg),28
Iodide (µg),0.7
Iron (mg),1.1
Potassium (mg),260
Magnesium (mg),13
Sodium (mg),320
Salt (g),0.8
Selenium (µg),0
Zinc (mg),0.3
